Product code,Bureau of Meteorology station number,Year,Month,Day,day_t,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,94020,2021,11,15,319,2,1,Y
IDCJAC0011,94020,2021,11,16,320,2.7,1,Y
IDCJAC0011,94020,2021,11,17,321,6,1,Y
IDCJAC0011,94020,2021,11,18,322,6.7,1,Y
IDCJAC0011,94020,2021,11,19,323,7.4,1,Y
IDCJAC0011,94020,2021,11,20,324,7.8,1,Y
IDCJAC0011,94020,2021,11,21,325,4,1,Y
IDCJAC0011,94020,2021,11,22,326,7,1,Y
IDCJAC0011,94020,2021,11,23,327,9.5,1,Y
IDCJAC0011,94020,2021,11,24,328,12.1,1,Y
IDCJAC0011,94020,2021,11,25,329,9.5,1,Y
IDCJAC0011,94020,2021,11,26,330,4.6,1,Y
IDCJAC0011,94020,2021,11,27,331,3.2,1,Y
IDCJAC0011,94020,2021,11,28,332,6,1,Y
IDCJAC0011,94020,2021,11,29,333,7.7,1,Y
IDCJAC0011,94020,2021,11,30,334,7.5,1,Y
IDCJAC0011,94020,2021,12,1,335,10.5,1,Y
IDCJAC0011,94020,2021,12,2,336,14,1,Y
IDCJAC0011,94020,2021,12,3,337,10,1,Y
IDCJAC0011,94020,2021,12,4,338,8,1,Y
IDCJAC0011,94020,2021,12,5,339,3,1,Y
IDCJAC0011,94020,2021,12,6,340,7.6,1,Y
IDCJAC0011,94020,2021,12,7,341,12,1,Y
IDCJAC0011,94020,2021,12,8,342,5.2,1,Y
IDCJAC0011,94020,2021,12,9,343,5.2,1,Y
IDCJAC0011,94020,2021,12,10,344,9,1,Y
IDCJAC0011,94020,2021,12,11,345,9.5,1,Y
IDCJAC0011,94020,2021,12,12,346,4.3,1,Y
IDCJAC0011,94020,2021,12,13,347,6.6,1,Y
IDCJAC0011,94020,2021,12,14,348,12.4,1,Y
IDCJAC0011,94020,2021,12,15,349,12.2,1,Y
IDCJAC0011,94020,2021,12,16,350,8.2,1,Y
IDCJAC0011,94020,2021,12,17,351,7.7,1,Y
IDCJAC0011,94020,2021,12,18,352,12.2,1,Y
IDCJAC0011,94020,2021,12,19,353,10,1,Y
IDCJAC0011,94020,2021,12,20,354,8.3,1,Y
IDCJAC0011,94020,2021,12,21,355,13,1,Y
IDCJAC0011,94020,2021,12,22,356,10.2,1,Y
IDCJAC0011,94020,2021,12,23,357,7.1,1,Y
IDCJAC0011,94020,2021,12,24,358,10,1,Y
IDCJAC0011,94020,2021,12,25,359,12.2,1,Y
IDCJAC0011,94020,2021,12,26,360,8.5,1,Y
IDCJAC0011,94020,2021,12,27,361,6.5,1,Y
IDCJAC0011,94020,2021,12,28,362,5.5,1,Y
IDCJAC0011,94020,2021,12,29,363,9.5,1,Y
IDCJAC0011,94020,2021,12,30,364,8,1,Y
IDCJAC0011,94020,2021,12,31,365,10.5,1,Y
